coal,1514043
petroleum liquids,13403
petroleum coke,9787
natural gas,1225894
other gases,11898
nuclear,769331
conventional hydroelectric,276240
wind,140822
solar,4327
geothermal,15562
biomass,57622
wood and wood-derived fuels,37799
other biomass,19823
hydro-electric pumped storage,-4950
other,13787
